Name,EX,EW,Subtotal-(EX+EW),CR(PE),CR(PEW),Subtotal-(EX+EW+CR(PE)+CR(PEW)),CR,EN,VU,Subtotal(threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Saint Barthélemy,0,0,0,0,0,0,6,14,30,50,0,13,818,38,919
Saint Kitts and Nevis,1,0,1,0,0,1,10,16,42,68,0,24,1229,63,1385
Saint Lucia,3,0,3,0,0,3,10,26,40,76,0,26,1278,60,1443
Saint Martin (French part),0,0,0,1,0,1,9,16,40,65,0,17,1042,64,1188
Saint Vincent and the Grenadines,1,0,1,0,0,1,9,21,43,73,0,26,1308,67,1475
Sint Maarten (Dutch part),0,0,0,1,0,1,9,16,40,65,0,15,1019,57,1156
Trinidad and Tobago,0,0,0,0,0,0,15,23,53,91,1,38,1963,89,2182
Turks and Caicos Islands,0,0,0,0,0,0,7,19,43,69,0,26,1198,66,1359
Virgin Islands, British,0,0,0,2,0,2,14,21,43,78,0,25,1268,71,1442
Virgin Islands, U.S.,1,0,1,5,0,6,11,22,35,68,0,25,1251,70,1415
China,4,1,5,16,0,21,115,205,331,651,1,250,4429,1065,6401
Hong Kong,0,0,0,1,0,1,13,25,42,80,1,30,988,91,1190
Japan,14,1,15,1,0,16,56,175,281,512,3,279,3496,493,4798
North Korea,1,0,1,0,0,1,9,30,57,96,0,38,744,71,950
South Korea,1,0,1,0,0,1,15,43,71,129,0,55,1295,110,1590
Macao,0,0,0,0,0,0,5,10,11,26,0,4,424,32,486
Mongolia,0,0,0,0,0,0,5,11,23,39,0,29,554,10,632
Taiwan,0,0,0,0,0,0,27,75,227,329,2,220,3089,311,3951
Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20
Albania,1,0,1,1,0,2,23,51,75,149,0,87,1057,73,1367
Andorra,0,0,0,0,0,0,0,3,10,13,0,20,315,7,355
Austria,3,0,3,4,0,7,24,29,51,104,0,81,861,66,1115
Belgium,1,0,1,0,0,1,6,5,35,46,0,50,716,38,851
Bosnia and Herz.,0,0,0,0,0,0,13,32,64,109,0,69,920,88,1186
Bulgaria,0,0,0,0,0,0,16,17,72,105,0,86,954,71,1216
Croatia,1,0,1,3,0,4,37,45,108,190,0,98,1224,118,1631
Czechia,0,0,0,0,0,0,4,10,30,44,0,55,714,39,852
Denmark,0,0,0,0,0,0,7,7,41,55,0,44,700,31,830
Estonia,0,0,0,0,0,0,2,3,18,23,0,29,522,9,583
Faroe Islands,1,0,1,0,0,1,5,5,20,30,0,17,306,19,373
Finland,0,0,0,0,0,0,4,2,23,29,0,40,545,14,628
France,8,0,8,6,0,14,35,66,172,273,0,162,1964,278,2685
Germany,4,0,4,5,0,9,18,28,64,110,0,85,956,81,1236
Gibraltar,0,0,0,0,0,0,8,9,36,53,0,21,542,31,647
Greece,4,0,4,11,1,16,81,118,252,451,0,161,1556,258,2430
Greenland,1,0,1,0,0,1,2,5,20,27,0,9,217,19,273
Guernsey,0,0,0,0,0,0,1,1,11,13,0,3,200,12,228
Holy See (Vatican City State),0,0,0,0,0,0,0,0,2,2,0,3,21,2,28
Hungary,0,0,0,0,0,0,7,16,41,64,0,54,701,47,866
Iceland,1,0,1,0,0,1,5,7,21,33,0,20,357,26,437
Ireland,1,0,1,0,0,1,11,10,40,61,0,37,782,63,944
Isle of Man,0,0,0,0,0,0,1,2,4,7,0,3,79,6,95
Italy,3,0,3,7,0,10,52,102,184,338,0,200,1639,255,2435
Jersey,0,0,0,0,0,0,1,1,12,14,0,2,207,12,235
Latvia,0,0,0,0,0,0,2,3,24,29,0,40,563,16,648
Liechtenstein,0,0,0,0,0,0,0,1,6,7,0,24,399,7,437
Lithuania,0,0,0,0,0,0,2,2,21,25,0,36,548,15,624
Luxembourg,0,0,0,0,0,0,2,3,7,12,0,22,457,12,503
Malta,0,0,0,0,0,0,12,12,35,59,0,26,575,43,703
Monaco,0,0,0,0,0,0,10,8,26,44,0,13,391,26,474
Montenegro,1,0,1,1,0,2,21,33,64,118,0,87,995,77,1278
Netherlands,1,0,1,0,0,1,8,4,36,48,0,51,765,36,901
Macedonia,2,0,2,2,0,4,19,35,67,121,0,60,733,50,966
Norway,0,0,0,0,0,0,8,10,43,61,0,47,674,28,810
Poland,1,0,1,0,0,1,3,12,36,51,0,60,766,34,912
Portugal,6,0,6,17,0,23,113,106,148,367,0,147,1721,313,2554
Romania,2,0,2,2,0,4,19,28,74,121,0,74,943,74,1214
San Marino,0,0,0,0,0,0,1,0,3,4,0,5,61,4,74
Serbia,0,0,0,1,0,1,10,12,49,71,0,64,833,27,995
Slovakia,0,0,0,0,0,0,6,12,35,53,0,60,732,44,889
Slovenia,0,0,0,0,0,0,16,29,112,157,0,57,1096,82,1392
Spain,2,0,2,12,0,14,80,146,235,461,0,276,2203,485,3427
Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,10,11,0,8,74,3,96
Sweden,0,0,0,0,0,0,6,7,39,52,0,54,694,31,831
